Unnamed: 0,condition,price,max_floor,street,num_rooms,region,area,url,num_bathrooms,building_type,floor,ceiling_height
5546,newly repaired,130000,4,Sayat Nova Ave,3,Yerevan,96,http://www.myrealty.am/en/item/28244/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,3,3.2
2979,good,65000,5,Hr.Kochar St,3,Yerevan,78,http://www.myrealty.am/en/item/18029/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,2,2.8
2698,good,129000,10,M.Khorenatsi St,3,Yerevan,90,http://www.myrealty.am/en/item/37797/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,3,2.8
4548,newly repaired,52000,14,Argishti St,2,Yerevan,53,http://www.myrealty.am/en/item/36153/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,monolit,5,3
2982,newly repaired,65000,12,Mashtots Ave,2,Yerevan,47,http://www.myrealty.am/en/item/17566/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,3,2.8
4556,newly repaired,97000,10,Saryan St,2,Yerevan,71,http://www.myrealty.am/en/item/16710/2-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,2,2.8
3610,newly repaired,67000,10,NarDos St,3,Yerevan,67,http://www.myrealty.am/en/item/21337/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,panel,9,2.8
2844,good,68000,16,V.Papazyan St,4,Yerevan,107,http://www.myrealty.am/en/item/23790/4-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,panel,16,2.8
718,newly repaired,105000,4,Aghbyur Serob St,3,Yerevan,110,http://www.myrealty.am/en/item/23304/3-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,4,3.2
5360,zero condition,98000,5,Pushkin St,3,Yerevan,95,http://www.myrealty.am/en/item/31230/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,2,3.2
471,newly repaired,65000,6,Hakobyan St,2,Yerevan,47,http://www.myrealty.am/en/item/28068/2-senyakanoc-bnakaran-vacharq-Yerevan-Arabkir,1,stone,6,3
5381,newly repaired,120000,5,Paronyan St,3,Yerevan,91,http://www.myrealty.am/en/item/18451/3-senyakanoc-bnakaran-vacharq-Yerevan-Center,1,stone,5,2.8
