,price,condition,district,max_floor,street,num_rooms,area,num_bathrooms,building_type,floor,ceiling_height
0,130000,1.0,1.0,4,0.9,3,96,1,2,3,3.2
1,65000,0.85,0.7,5,0.9,3,78,1,2,2,2.8
2,129000,0.85,1.0,10,0.9,3,90,1,4,3,2.8
3,52000,1.0,1.0,14,0.9,2,53,1,1,5,3.0
4,65000,1.0,1.0,12,1.0,2,47,1,4,3,2.8
5,97000,1.0,1.0,10,0.9,2,71,1,4,2,2.8
6,67000,1.0,1.0,10,0.75,3,67,1,4,9,2.8
7,68000,0.85,0.7,16,0.7,4,107,1,4,16,2.8
8,105000,1.0,0.7,4,0.7,3,110,1,2,4,3.2
9,98000,0.7,1.0,5,1.0,3,95,1,2,2,3.2
10,65000,1.0,0.7,6,0.8,2,47,1,2,6,3.0
11,120000,1.0,1.0,5,0.85,3,91,1,2,5,2.8
12,43000,0.85,0.7,5,0.8,1,39,1,2,2,2.8
13,200000,1.0,1.0,12,1.0,3,100,1,4,5,2.8
14,57000,0.85,0.7,14,0.7,2,40,1,1,7,2.8
15,95000,1.0,0.7,9,0.75,4,100,1,2,2,3.0
16,78000,0.85,0.7,5,0.7,4,98,1,2,1,2.8
17,34000,0.85,0.4,9,0.4,3,73,1,4,9,2.8
18,85000,1.0,1.0,10,0.9,2,71,1,4,6,2.8
19,37500,0.85,0.7,5,0.75,2,44,1,2,1,2.8
20,45000,1.0,0.4,9,0.4,3,87,1,4,6,2.8
21,41800,0.85,1.0,9,1.0,1,40,1,4,9,2.8
22,85000,1.0,1.0,16,0.8,2,84,1,1,5,3.0
23,145000,0.7,0.7,13,0.75,4,148,3,1,11,3.0
24,105000,1.0,1.0,5,0.95,3,105,1,3,4,2.8
25,123000,1.0,0.7,15,0.65,4,104,1,3,13,2.8
26,43000,0.85,1.0,11,0.8,2,43,1,4,10,2.8
27,240000,0.85,1.0,22,0.9,3,128,2,1,4,3.0
28,38000,1.0,0.4,12,0.5,2,66,1,1,12,2.8
29,160000,1.0,1.0,14,1.0,2,102,2,1,9,2.8
30,33000,0.85,0.7,16,0.7,1,48,1,4,15,2.8
31,120000,1.0,0.7,5,0.7,3,116,2,1,2,3.2
32,60000,1.0,0.4,4,0.5,4,88,1,2,4,3.0
33,90000,0.85,1.0,3,1.0,2,54,1,2,3,2.8
34,33000,1.0,0.7,4,0.7,2,48,1,2,4,2.6
35,57000,1.0,0.6,10,0.55,3,96,1,4,8,2.8
36,150000,0.85,1.0,5,1.0,3,95,1,2,2,3.2
37,90000,0.85,1.0,5,1.0,2,73,1,2,5,2.8
38,72000,1.0,0.7,16,0.75,3,72,1,4,3,2.8
39,190000,1.0,1.0,15,1.0,3,115,1,1,15,3.0
40,35000,0.7,0.4,9,0.45,3,71,1,4,9,2.8
41,190000,1.0,1.0,5,1.0,3,81,1,2,3,3.0
42,69000,1.0,0.4,9,0.5,4,102,1,4,1,2.8
43,85000,1.0,0.7,3,0.7,3,90,1,2,2,3.2
44,47000,0.7,0.4,12,0.35,2,68,1,1,5,3.0
45,39000,0.85,0.4,9,0.35,3,77,1,4,6,2.8
46,28500,1.0,0.5,5,0.5,1,32,1,2,3,2.8
47,39000,0.85,0.5,9,0.45,3,76,1,4,8,2.8
48,130000,0.85,1.0,4,1.0,4,110,2,2,2,3.2
49,125000,0.85,1.0,10,1.0,3,100,1,3,2,2.8
50,67000,0.85,1.0,10,0.75,2,48,1,1,10,2.8
51,58000,0.85,0.5,5,0.4,4,90,1,2,5,2.8
